Metadata,,,,,,,,
These are the data from the Drosophila selection experiment published in:,,,,,,,,
Scheiner SM and Lyman RF. 1991. The genetics of phenotypic plasticity. II. Response to selection. Journal of Evolutionary Biology 4:23-50.,,,,,,,,
See Materials and Methods section for details.,,,,,,,,
,,,,,,,,
Funding: NIH R01-GM38201,,,,,,,,
,,,,,,,,
Data columns,,,,,,,,
Col 1 = Selection regime (1 = 25C  2 = 19C  3 = Plasticity  4 = Control),,,,,,,,
Col 2 = Selection direction (1 = Up  2 = Down  3 = Control),,,,,,,,
Col 3 = Replicate line (1 or 2),,,,,,,,
Col 4 = Generation (1-16 for 25C and 19C  -21 or -22 for Plasticity and Control),,,,,,,,
Col 5 = Rearing temperature (1 = 25C  2 = 19C),,,,,,,,
Col 6 = Family,,,,,,,,
Col 7 = Replicate vial within family and rearing temperature,,,,,,,,
Col 8 = Individual within vial,,,,,,,,
Col 9 = Thorax length (mm),,,,,,,,
,,,,,,,,
Data,,,,,,,,
________________________________________________________________________,,,,,,,,
4,3,1,1,2,4,1,3,1.139016
4,3,1,1,2,17,2,7,1.088504
4,3,1,1,2,17,2,8,1.066419
4,3,1,1,2,17,2,9,1.058548
4,3,1,1,2,15,2,7,1.080633
4,3,1,1,2,15,2,8,1.055486
4,3,1,1,2,15,2,9,1.044991
4,3,1,1,1,26,2,7,1.078446
4,3,1,1,1,26,2,8,1.036681
4,3,1,1,1,26,2,9,1.097688
4,3,1,1,1,26,2,10,1.058766
4,3,1,1,1,26,2,11,1.065982
4,3,1,1,1,26,2,12,1.078665
4,3,1,1,1,27,1,1,0.983328
4,3,1,1,1,27,1,2,0.924945
4,3,1,1,1,27,1,3,0.985514
4,3,1,1,1,27,2,7,1.111464
4,3,1,1,1,27,2,8,1.082382
4,3,1,1,1,27,2,9,1.006724
4,3,1,1,1,28,1,1,1.111683
4,3,1,1,1,28,1,2,1.119117
4,3,1,1,1,28,1,3,1.108184
4,3,1,1,1,28,2,7,1.087411
4,3,1,1,1,28,2,8,1.130925
4,3,1,1,1,28,2,9,1.129832
4,3,1,1,1,29,1,1,1.049582
4,3,1,1,1,29,1,2,1.093315
4,3,1,1,1,29,1,3,1.060297
4,3,1,1,1,29,2,7,0.980485
4,3,1,1,1,29,2,8,1.065107
4,3,1,1,1,29,2,9,1.027716
4,3,1,1,1,30,1,1,1.012847
4,3,1,1,1,30,1,2,1.040617
4,3,1,1,1,30,1,3,1.033183
4,3,1,1,1,30,2,7,1.046084
4,3,1,1,1,30,2,8,1.040617
4,3,1,1,1,30,2,9,1.038212
4,3,1,1,1,31,1,1,1.089598
4,3,1,1,1,31,1,2,1.091128
4,3,1,1,1,31,1,3,1.084131
4,3,1,1,1,32,1,1,1.138797
4,3,1,1,1,32,1,2,1.076915
4,3,1,1,1,32,1,3,1.127645
4,3,1,1,1,32,2,7,1.081945
4,3,1,1,1,32,2,8,1.089379
4,3,1,1,1,32,2,9,1.096814
4,3,1,1,1,33,1,1,1.090254
4,3,1,1,1,33,1,2,1.07451
4,3,1,1,1,33,1,3,1.060297
4,3,1,1,1,33,2,7,0.941782
4,3,1,1,1,33,2,8,1.060297
4,3,1,1,1,33,2,9,1.073635
4,3,1,1,1,34,1,1,0.97152
4,3,1,1,1,34,1,2,0.942438
4,3,1,1,1,34,1,3,0.97633
4,3,1,1,1,34,2,7,1.095064
4,3,1,1,1,34,2,8,1.088504
4,3,1,1,1,34,2,9,1.116493
4,3,1,1,1,36,1,1,1.079321
4,3,1,1,1,36,1,2,1.090691
4,3,1,1,1,36,2,7,1.090472
4,3,1,1,1,36,2,8,1.09091
4,3,1,1,1,36,2,9,1.0826
4,3,1,1,1,37,1,1,1.095939
4,3,1,1,1,37,1,2,1.072105
4,3,1,1,1,37,1,3,1.095939
4,3,1,1,1,37,2,7,1.072761
4,3,1,1,1,37,2,8,1.074729
4,3,1,1,1,37,2,9,1.097251
4,3,1,1,1,38,1,1,1.053081
4,3,1,1,1,38,1,2,1.035807
4,3,1,1,1,38,1,3,1.053518
4,3,1,1,1,38,2,7,1.098782
4,3,1,1,1,38,2,8,1.105779
4,3,1,1,1,38,2,9,1.1318
4,3,1,1,1,39,1,1,1.091128
4,3,1,1,1,39,1,2,1.066201
4,3,1,1,1,39,1,3,1.075603
4,3,1,1,1,39,2,7,1.072761
4,3,1,1,1,39,2,8,1.094846
4,3,1,1,1,39,2,9,1.031433
4,3,1,1,1,41,1,1,1.08763
4,3,1,1,1,41,1,2,1.090254
4,3,1,1,1,41,1,3,1.09091
4,3,1,1,1,41,2,7,1.012628
4,3,1,1,1,41,2,8,1.028591
4,3,1,1,1,41,2,9,1.059422
4,3,1,1,1,42,1,1,1.0041
4,3,1,1,1,42,1,2,1.05986
4,3,1,1,1,42,1,3,1.066638
4,3,1,1,1,42,2,7,1.113651
4,3,1,1,1,42,2,8,1.035369
4,3,1,1,1,42,2,9,1.062921
4,3,1,1,1,43,1,1,1.116712
4,3,1,1,1,43,1,2,1.082382
4,3,1,1,1,43,1,3,1.095939
4,3,1,1,1,43,2,7,1.047614
4,3,1,1,1,43,2,8,1.077353
4,3,1,1,1,43,2,9,1.048489
4,3,1,1,1,44,1,1,1.101843
4,3,1,1,1,44,1,2,1.0826
4,3,1,1,1,44,1,3,1.032308
4,3,1,1,1,44,1,4,1.060953
4,3,1,1,1,44,1,5,1.080851
4,3,1,1,1,44,1,6,1.068606
4,3,1,1,1,45,1,1,1.052644
4,3,1,1,1,45,1,2,1.078009
4,3,1,1,1,45,1,3,1.010004
4,3,1,1,1,45,2,7,0.982453
4,3,1,1,1,45,2,8,1.017439
4,3,1,1,1,45,2,9,1.039524
4,3,1,1,1,46,1,1,1.055705
4,3,1,1,1,46,1,2,1.039305
4,3,1,1,1,46,1,3,1.065107
4,3,1,1,1,46,2,7,1.116712
4,3,1,1,1,46,2,8,1.119336
4,3,1,1,1,46,2,9,1.074073
4,3,1,1,1,47,2,7,1.108403
4,3,1,1,1,47,2,8,1.078883
4,3,1,1,1,47,2,9,1.083256
4,3,1,1,1,47,2,10,1.039087
4,3,1,1,1,47,2,11,1.078883
4,3,1,1,1,47,2,12,1.07779
4,3,1,1,1,48,1,1,1.05155
4,3,1,1,1,48,1,2,1.06314
4,3,1,1,1,48,1,3,1.050894
4,3,1,1,1,48,2,7,1.079758
4,3,1,1,1,48,2,8,1.074073
4,3,1,1,1,48,2,9,1.089379
4,3,1,1,1,49,1,1,1.024436
4,3,1,1,1,49,1,2,1.042804
4,3,1,1,1,49,1,3,0.990106
4,3,1,1,1,49,2,7,1.07123
4,3,1,1,1,49,2,8,1.052862
4,3,1,1,1,49,2,9,1.101187
4,3,1,1,1,50,1,1,1.03362
4,3,1,1,1,50,1,2,1.04827
4,3,1,1,1,50,1,3,1.049364
4,3,1,1,1,50,2,7,1.05658
4,3,1,1,1,50,2,8,0.955557
4,3,1,1,1,50,2,9,1.022905
4,3,1,1,2,2,1,1,1.090035
4,3,1,1,2,2,1,2,1.117368
4,3,1,1,2,2,1,3,1.064889
4,3,1,1,2,2,2,7,1.110808
4,3,1,1,2,2,2,8,1.09747
4,3,1,1,2,2,2,9,1.065763
