Metadata,,,
These are the data from the Drosophila selection experiment published in:,,,
Scheiner SM and Lyman RF. 1989. The genetics of phenotypic plasticity. I. Heritability. Journal of Evolutionary Biology 2:95-107.,,,
See Materials and Methods section for details.,,,
,,,
Funding: NIH R01-GM38201,,,
,,,
Data columns (each line consists of one F1 female),,,
Col 1 = Sire,,,
Col 2 = Dam,,,
Col 3 = Rearing temperature (19C or 25C),,,
Col 4 = Thorax length (mm),,,
,,,
Data,,,
________________________________________________________________________,,,
24,2,25,1.122
24,2,25,1.048
24,2,25,1.122
24,2,25,1.109
24,3,19,1.136
24,3,19,1.108
24,3,19,1.063
24,3,19,1.115
24,3,19,1.076
24,3,19,1.13
24,3,19,1.115
24,3,19,1.153
24,3,19,1.095
24,3,25,1.078
24,3,25,1.055
24,3,25,1.094
24,3,25,1.143
24,3,25,1.11
24,3,25,1.087
27,1,19,1.083
27,1,19,1.105
27,1,19,1.146
27,1,19,1.092
27,1,19,1.103
27,1,19,1.105
27,1,25,1.14
27,1,25,1.113
27,1,25,1.102
27,1,25,1.062
27,1,25,1.087
27,1,25,1.125
27,1,25,1.078
27,1,25,1.08
27,1,25,1.045
27,2,19,1.147
27,2,19,1.156
27,2,19,1.111
27,2,25,1.095
27,2,25,1.091
27,2,25,1.139
27,2,25,1.119
27,2,25,1.068
27,2,25,1.112
28,1,19,1.102
28,1,19,1.099
28,1,19,1.142
28,1,19,1.178
28,1,19,1.133
28,1,19,1.077
28,1,25,1.122
28,1,25,1.071
28,1,25,1.092
28,1,25,1.074
28,1,25,1.049
28,1,25,1.108
28,2,19,1.128
28,2,19,1.117
28,2,19,1.114
28,2,19,1.139
28,2,19,1.13
28,2,19,1.114
28,2,25,1.07
28,2,25,1.089
28,2,25,1.051
28,2,25,1.113
28,2,25,1.1
28,2,25,1.101
28,2,25,0.986
28,2,25,1.052
28,2,25,1.031
28,3,19,1.105
28,3,19,1.123
28,3,19,1.099
28,3,19,1.076
28,3,19,1.128
28,3,19,1.123
28,3,19,1.11
28,3,19,1.086
28,3,19,1.084
28,3,25,1.144
28,3,25,1.134
28,3,25,1.092
28,3,25,1.119
28,3,25,1.107
28,3,25,1.117
28,3,25,1.059
28,3,25,1.023
28,3,25,1.077
29,1,19,1.121
29,1,19,1.121
29,1,19,1.127
29,1,19,1.158
29,1,19,1.09
29,1,25,1.117
29,1,25,1.131
29,1,25,1.101
29,2,19,1.11
29,2,19,1.095
29,2,19,1.088
29,2,19,1.131
29,2,19,1.111
29,2,19,1.121
29,2,19,1.111
29,2,19,1.11
29,2,19,1.102
29,2,25,1.053
29,2,25,1.092
29,2,25,1.157
29,2,25,1.136
29,2,25,1.08
29,2,25,1.058
29,2,25,1.017
29,2,25,1.06
29,2,25,1.027
30,1,19,1.129
30,1,19,1.123
30,1,19,1.103
30,1,19,1.106
30,1,19,1.087
30,1,19,1.072
30,1,25,1.085
30,1,25,1.048
30,1,25,1.084
30,1,25,1.081
30,1,25,1.077
30,1,25,1.112
30,2,19,1.098
30,2,19,1.078
30,2,19,1.105
30,2,25,1.1
30,2,25,1.123
30,2,25,1.135
30,2,25,1.114
30,2,25,1.124
30,2,25,1.071
30,2,25,1.094
31,2,19,1.12
31,2,19,1.085
31,2,19,1.069
31,2,19,1.083
31,2,19,1.069
31,2,19,1.087
31,2,25,1.059
31,2,25,1.113
31,2,25,1.126
31,2,25,1.111
31,2,25,1.12
31,2,25,1.055
31,2,25,1.102
31,2,25,1.082
31,3,19,1.124
31,3,19,1.069
31,3,19,1.055
31,3,19,1.104
31,3,19,1.106
31,3,19,1.115
31,3,25,1.125
31,3,25,1.114
31,3,25,1.09
32,1,19,1.115
32,1,19,1.097
32,1,19,1.105
32,1,19,1.1
32,1,19,1.101
32,1,19,1.099
32,1,19,1.12
32,1,19,1.129
32,1,19,1.101
32,1,25,1.113
32,1,25,1.126
32,1,25,1.145
32,1,25,1.098
32,1,25,1.113
32,1,25,1.074
32,1,25,1.099
32,1,25,1.113
32,1,25,1.104
32,2,19,1.151
32,2,19,0.947
32,2,19,1.043
32,2,19,1.085
32,2,19,1.122
32,2,19,1.102
32,2,19,1.136
32,2,19,0.968
32,2,19,1.101
32,2,25,1.07
32,2,25,1.132
32,2,25,1.089
32,2,25,1.132
32,2,25,1.073
32,2,25,1.15
32,2,25,1.127
32,2,25,1.094
32,2,25,1.119
32,3,19,1.066
32,3,19,1.041
32,3,19,1.109
32,3,19,1.1
32,3,19,1.109
32,3,19,1.013
32,3,19,1.1
32,3,19,1.088
32,3,19,1.059
32,3,25,1.096
32,3,25,1.041
32,3,25,1.089
32,3,25,1.135
32,3,25,1.131
32,3,25,1.045
32,3,25,1.087
32,3,25,1.122
33,2,19,1.14
33,2,19,1.152
33,2,19,1.147
33,2,25,1.116
33,2,25,1.142
33,2,25,1.121
33,2,25,1.102
33,2,25,1.059
33,2,25,1.084
33,3,19,1.129
33,3,19,1.121
33,3,19,1.144
33,3,19,1.12
33,3,19,1.148
33,3,19,1.104
33,3,19,1.135
33,3,19,1.074
33,3,25,1.151
33,3,25,1.124
33,3,25,1.087
33,3,25,1.118
33,3,25,1.153
33,3,25,1.143
33,3,25,1.059
33,3,25,1.057
33,3,25,1.094
34,1,19,1.113
34,1,19,1.13
34,1,19,1.105
34,1,19,1.133
34,1,25,1.119
34,1,25,1.075
34,1,25,1.111
34,1,25,1.067
34,1,25,1.108
34,1,25,1.12
34,2,19,1.172
34,2,19,1.158
34,2,19,1.142
34,2,19,1.148
34,2,19,1.137
34,2,19,1.131
34,2,25,1.152
34,2,25,1.152
34,2,25,1.137
34,2,25,1.128
34,2,25,1.142
34,2,25,1.119
34,3,19,1.064
34,3,19,1.051
34,3,19,1.058
34,3,19,0.979
34,3,19,1.09
34,3,19,1.042
34,3,19,1.058
34,3,19,1.092
34,3,19,1.046
34,3,19,1.058
34,3,19,1.083
34,3,25,1.119
34,3,25,1.092
34,3,25,1.119
34,3,25,1.067
34,3,25,1.093
34,3,25,1.136
35,2,19,1.095
35,2,19,1.116
35,2,19,1.141
35,2,25,1.118
35,2,25,1.038
35,2,25,1.022
35,3,19,1.086
35,3,19,1.074
35,3,19,1.075
35,3,19,1.117
35,3,19,1.132
35,3,19,1.104
35,3,25,1.058
35,3,25,1.111
35,3,25,1.118
35,3,25,1.063
35,3,25,1.033
35,3,25,1.044
38,2,19,1.092
38,2,19,1.081
38,2,19,1.069
38,2,19,1.11
38,2,19,1.111
38,2,19,1.087
38,2,19,1.081
38,2,19,1.059
38,2,19,1.096
38,2,25,1.099
38,2,25,1.096
38,2,25,1.093
38,2,25,1.095
38,2,25,1.067
38,2,25,1.061
38,2,25,1.091
38,2,25,1.017
38,2,25,0.998
38,3,19,1.124
38,3,19,1.061
38,3,19,1.113
38,3,19,1.076
38,3,19,1.13
38,3,19,1.083
38,3,19,1.112
38,3,19,1.104
38,3,19,1.154
38,3,25,1.097
38,3,25,1.121
38,3,25,1.097
38,3,25,1.137
38,3,25,1.047
38,3,25,1.055
39,2,19,1.13
39,2,19,1.071
39,2,19,1.131
39,2,19,1.072
39,2,19,1.098
39,2,19,1.066
39,2,19,1.087
39,2,19,1.092
39,2,19,1.074
39,2,25,1.069
39,2,25,1.119
39,2,25,1.122
39,2,25,1.127
39,2,25,1.059
39,2,25,1.124
39,2,25,1.096
39,2,25,1.044
39,2,25,1.053
39,3,19,1.153
39,3,19,1.136
39,3,19,0.986
39,3,19,1.15
39,3,19,1.13
39,3,19,1.169
39,3,19,1.132
39,3,19,1.087
39,3,25,1.131
39,3,25,1.107
