11,2,25,1.122,55,8,59.66667,0,827,27,81,170,129,113,107,62,43,43,44
11,3,19,1.137,31,13,38.33333,277,623,4,11,53,114,96,68,87,92,73,25
11,3,19,1.195,59,20,22.33333,11,360,5,18,6,21,59,59,59,60,38,12
11,3,19,1.106,59,31,23,80,429,3,6,5,21,47,52,38,43,14,61                                                                11   3    19            1.126         80            31       26.66667       5            453        13        11             6        22            29            69       47            46     12            65
11,3,25,1.079,28,6,68,67,820,46,204,194,157,129,66,19,5,0,0
11,3,25,1.135,65,7,51.33333,2,387,23,134,121,75,11,4,0,1,3,3
12,1,19,1.129,65,16,19,23,446,11,7,38,43,47,56,44,32,28,21
12,1,19,1.154,66,21,27.66667,47,643,1,13,7,29,35,33,83,81,59,55
12,1,19,1.115,84,19,22.66667,0,317,17,18,31,48,45,64,41,21,12,5
12,1,19,1.119,76,27,22.66667,3,519,14,24,35,43,49,50,46,40,68,41
12,1,25,1.116,28,10,66.66666,102,626,18,26,149,166,144,88,27,8,0,0
12,1,25,1.102,49,10,62.33333,0,679,102,121,161,158,95,42,0,0,0,0                                                                 12   1    25            1.087         15            10       48           152            401        50       102           135       109             5             0        0             0      0             0
12,1,25,1.108,31,11,20,38,262,0,20,59,55,52,38,1,8,21,8                                                                 12   1    25            1.115         40             9       47.33333      42            560        19        57           142        81            43            55       63            58     14             8
12,2,19,1.071,16,11,20.33333,78,105,2,11,30,52,10,0,0,0,0,0
12,2,19,1.114,55,15,21,6,286,15,19,42,29,63,52,37,11,5,4
12,2,19,1.136,67,19,29.33333,9,382,2,12,7,49,71,78,76,26,11,7
12,2,19,1.07,44,14,17.66667,15,192,15,14,8,38,50,24,10,8,10,3
12,2,25,1.097,47,8,56,1,555,20,84,162,76,52,66,39,29,22,5
12,2,25,1.059,22,10,44.33333,76,369,9,70,125,89,57,14,5,0,0,0
12,2,25,1.067,53,9,58,32,759,17,103,174,94,64,86,21,11,35,64
12,2,25,1.085,57,9,47,3,701,21,74,141,124,96,94,70,30,23,11
13,1,19,1.114,72,12,40,20,628,6,8,54,120,108,81,56,64,25,36
13,1,19,1.092,82,24,30.33333,14,575,18,12,7,19,56,72,75,91,57,48
13,1,19,1.083,66,10,24.33333,5,415,8,5,60,53,53,57,23,25,53,14                                                                13   1    25            1.023         38            11       51.66667       3            645        36       100           131       151           144            64       16             1      1             0                                                                 13   1    25            1.094         34             7       46.33333      48            454        60       125            95        43            52            27        7            24     15             2
13,1,25,1.105,35,10,53,3,598,28,131,159,129,104,31,13,1,0,2                                                                 13   1    25            1.109         42            10       51.33333      26            820        26       115           152       132            58            90      110            76     38             6
13,2,19,1.124,55,13,18.33333,76,403,18,51,16,41,34,25,38,30,22,27
13,2,19,1.099,74,15,30.33333,13,474,0,16,9,56,91,85,73,30,27,14
13,2,19,1.122,79,16,22.33333,15,295,11,8,2,11,52,37,26,33,25,12
13,2,25,1.127,53,8,43,2,430,48,69,118,46,40,32,22,12,14,22
13,2,25,1.083,51,8,44.66667,34,518,20,81,85,52,68,40,46,35,30,16
13,2,25,1.086,31,9,49.33333,120,601,22,53,148,105,98,55,79,27,11,3
13,2,25,1.12,43,14,25.66667,28,439,27,55,62,50,63,48,51,35,23,7                                                                 13   3    19            1.092         44            13       39.66667      50            471        11         3             6        99           118            63       54            31     36            26
13,3,19,1.11,39,15,21.33333,83,376,13,8,19,35,64,43,55,56,34,20
13,3,19,1.099,75,17,33.33333,4,575,7,7,28,63,89,83,70,80,46,44
13,3,19,1.127,67,19,23.66667,8,447,14,8,22,61,61,68,69,46,30,28
13,3,25,0.944,50,11,51,1,782,47,121,143,149,121,110,48,8,12,8
13,3,25,1.062,38,8,35.33333,20,372,10,50,75,78,59,51,25,6,15,0                                                                 13   3    25            1.102         44             8       67             1            710        20       125           182       166            95            96       22             2      1             0
